template,case,ok,ref_kpts,tgt_kpts,matches,inliers,inlier_ratio,reproj_rms
C:\Users\takumi\develop\APA\image\B\1.jpg,1_deg00,True,2048,2048,1054,922,0.8747628083491461,1.6642045974731445
C:\Users\takumi\develop\APA\image\B\1.jpg,1_deg01,True,2048,2048,1030,907,0.8805825242718447,1.6413429975509644
C:\Users\takumi\develop\APA\image\B\1.jpg,1_deg02,True,2048,2048,1029,885,0.8600583090379009,1.6399654150009155
C:\Users\takumi\develop\APA\image\B\1.jpg,1_deg03,True,2048,2048,1022,885,0.8659491193737769,1.69300377368927
C:\Users\takumi\develop\APA\image\B\1.jpg,1_deg04,True,2048,2048,1006,849,0.8439363817097415,1.6525813341140747
C:\Users\takumi\develop\APA\image\B\2.jpg,2_deg00,True,2048,2048,953,791,0.8300104931794333,1.6980100870132446
C:\Users\takumi\develop\APA\image\B\2.jpg,2_deg01,True,2048,2048,885,702,0.7932203389830509,1.7001254558563232
C:\Users\takumi\develop\APA\image\B\2.jpg,2_deg02,True,2048,2048,986,786,0.7971602434077079,1.646284580230713
C:\Users\takumi\develop\APA\image\B\2.jpg,2_deg03,True,2048,2048,920,751,0.816304347826087,1.760409951210022
C:\Users\takumi\develop\APA\image\B\2.jpg,2_deg04,True,2048,2048,943,735,0.7794273594909862,1.5479661226272583
C:\Users\takumi\develop\APA\image\B\3.jpg,3_deg00,True,2048,2048,1156,1001,0.865916955017301,1.5949921607971191
C:\Users\takumi\develop\APA\image\B\3.jpg,3_deg01,True,2048,2048,1174,1037,0.883304940374787,1.4881995916366577
C:\Users\takumi\develop\APA\image\B\3.jpg,3_deg02,True,2048,2048,1025,921,0.8985365853658537,1.5131584405899048
C:\Users\takumi\develop\APA\image\B\3.jpg,3_deg03,True,2048,2048,927,792,0.8543689320388349,1.6561450958251953
C:\Users\takumi\develop\APA\image\B\3.jpg,3_deg04,True,2048,2048,932,751,0.805793991416309,1.6962002515792847
C:\Users\takumi\develop\APA\image\B\4.jpg,4_deg00,True,2048,2048,1004,846,0.8426294820717132,1.7148253917694092
C:\Users\takumi\develop\APA\image\B\4.jpg,4_deg01,True,2048,2048,1091,955,0.8753437213565536,1.6398307085037231
C:\Users\takumi\develop\APA\image\B\4.jpg,4_deg02,True,2048,2048,1082,901,0.83271719038817,1.668468713760376
C:\Users\takumi\develop\APA\image\B\4.jpg,4_deg03,True,2048,2048,1046,911,0.8709369024856597,1.6028627157211304
C:\Users\takumi\develop\APA\image\B\4.jpg,4_deg04,True,2048,2048,1002,835,0.8333333333333334,1.719528079032898
C:\Users\takumi\develop\APA\image\B\5.jpg,5_deg00,True,2048,2048,1131,999,0.883289124668435,1.573801875114441
C:\Users\takumi\develop\APA\image\B\5.jpg,5_deg01,True,2048,2048,970,817,0.8422680412371134,1.5473498106002808
C:\Users\takumi\develop\APA\image\B\5.jpg,5_deg02,True,2048,2048,947,800,0.8447729672650475,1.614500641822815
C:\Users\takumi\develop\APA\image\B\5.jpg,5_deg03,True,2048,2048,1066,936,0.8780487804878049,1.6481159925460815
C:\Users\takumi\develop\APA\image\B\5.jpg,5_deg04,True,2048,2048,1084,958,0.8837638376383764,1.5753988027572632
C:\Users\takumi\develop\APA\image\B\6.jpg,6_deg00,True,2048,2048,991,857,0.8647830474268415,1.628676176071167
C:\Users\takumi\develop\APA\image\B\6.jpg,6_deg01,True,2048,2048,955,796,0.8335078534031414,1.6821295022964478
C:\Users\takumi\develop\APA\image\B\6.jpg,6_deg02,True,2048,2048,1026,891,0.868421052631579,1.6383006572723389
C:\Users\takumi\develop\APA\image\B\6.jpg,6_deg03,True,2048,2048,999,839,0.8398398398398398,1.7081899642944336
C:\Users\takumi\develop\APA\image\B\6.jpg,6_deg04,True,2048,2048,1056,938,0.8882575757575758,1.6411572694778442
